,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
277,Q9H6E5,7.67570093,0.0,0.13028126,1,17
278,Q5NEU6,5.44672897,0.04341817,0.18359643,8,14
279,O15357,6.44579439,0.0,0.15513992,1,15
280,P05107,6.44579439,0.0,0.15513992,1,15
281,Q13438,6.26074766,0.01631725,0.15972533,6,15
282,Q2M3W8,6.44579439,0.0,0.15513992,1,15
283,Q86WV6,6.44579439,0.0,0.15513992,1,15
284,Q92575,6.26074766,0.0130701,0.15972533,2,15
285,Q5NEV2,1.0,0.0,1.0,1,1
286,O94842,1.0,0.0,1.0,1,1
287,Q5NEV5,1.0,0.0,1.0,1,1
288,Q9Y2M5,1.0,0.0,1.0,1,1
289,Q5NEV6,9.0,0.0,0.11111111,1,18
290,P46939,8.00093458,0.0074608999999999995,0.12498540000000001,3,17
291,Q5NEV8,6.94579439,0.0,0.14397201,1,16
292,Q5NEW4,1.0,1.0,1.0,4,1
293,O14974,1.75,0.0,0.57142857,1,2
294,Q7Z494,1.75,0.0,0.57142857,1,2
295,Q96CD2,1.75,0.0,0.57142857,1,2
296,Q9BY42,1.75,0.0,0.57142857,1,2
297,Q5NEW7,8.27476636,0.0,0.12084933,1,18
298,Q02763,7.27570093,0.00373657,0.13744379999999998,3,17
299,Q5NEX2,7.04299065,0.0029613000000000005,0.14198514,2,16
300,O75533,6.27196262,0.01293258,0.15943973,3,15
301,P20073,7.12990654,0.00418408,0.14025429,3,17
302,Q5NEX3,6.17570093,0.00560223,0.16192494,4,14
303,Q2TAC2,7.17476636,0.0,0.13937736,1,15
304,Q5SZL2,7.17476636,0.0,0.13937736,1,15
305,Q96T23,7.17476636,0.0,0.13937736,1,15
306,Q5NEX4,6.39626168,0.01235642,0.15634132,5,16
307,Q13137,7.395327099999999,0.0,0.13522052,1,17
308,Q8NDV7,6.42897196,0.0075863,0.15554586,3,16
309,Q99576,7.395327099999999,0.0,0.13522052,1,17
310,Q9Y2G2,6.41401869,0.00367804,0.15590849,2,16
311,Q5NEY0,7.08598131,0.01954478,0.14112371,3,15
312,P12109,7.98785047,0.016370600000000003,0.12519013,2,16
313,Q06643,8.08504673,0.0,0.12368512,1,16
314,Q5NEY1,7.57383178,0.00621751,0.13203356,3,17
315,O14641,6.70373832,0.00952499,0.14917049999999998,3,16
316,Q68CZ6,8.21401869,0.00343431,0.12174309,2,18
317,Q96JB2,8.5728972,0.0,0.11664668,1,18
318,Q5NEY3,1.0,1.0,1.0,2,1
319,Q92673,1.5,0.0,0.66666667,1,2
320,Q96HP8,1.5,0.0,0.66666667,1,2
321,Q5NEY7,1.0,1.0,1.0,4,1
322,O95715,1.75,0.0,0.57142857,1,2
323,P49458,1.75,0.0,0.57142857,1,2
324,Q3MJ13,1.75,0.0,0.57142857,1,2
325,Q9H0U3,1.75,0.0,0.57142857,1,2
326,Q5NF08,7.42616822,0.0,0.13465895,1,17
327,Q5NF14,8.89345794,0.0,0.1124422,1,18
328,Q92574,7.89439252,0.00186916,0.12667219,2,17
329,Q5NF16,8.94205607,0.0,0.11183110000000002,1,18
330,Q5NF27,6.31962617,0.01171474,0.15823721,4,16
331,P30048,7.31869159,0.0,0.13663644,1,17
332,P30084,7.31869159,0.0,0.13663644,1,17
333,Q5NF29,7.01682243,0.00586772,0.14251465,4,17
334,Q16534,6.14485981,0.02042388,0.16273764,5,16
335,Q86X95,8.01588785,0.0,0.12475224,1,18
336,Q8N3J9,7.61028037,0.00177546,0.13140120000000002,2,17
337,Q9P031,8.01588785,0.0,0.12475224,1,18
338,Q5NF31,7.758878500000001,0.00746614,0.12888461,5,16
339,Q14154,8.75794393,0.0,0.11418205,1,17
340,Q4L180,8.75794393,0.0,0.11418205,1,17
341,Q99961,6.76728972,0.00931082,0.14776965,2,15
342,Q9HCM1,8.75794393,0.0,0.11418205,1,17
343,Q9UBV2,8.75794393,0.0,0.11418205,1,17
344,Q5NF36,1.5,0.0,0.66666667,1,2
345,Q9UKY1,1.0,1.0,1.0,2,1
346,Q5NF37,6.37570093,0.03773916,0.1568455,15,16
347,P01023,7.37476636,0.0,0.13559752,1,17
348,P01034,7.37476636,0.0,0.13559752,1,17
349,P04040,7.37476636,0.0,0.13559752,1,17
350,P09601,7.37476636,0.0,0.13559752,1,17
351,P14618,6.836448599999999,0.00978112,0.14627478,3,17
352,P56199,7.37476636,0.0,0.13559752,1,17
353,P61968,7.37476636,0.0,0.13559752,1,17
354,P78347,6.52803738,0.01152764,0.1531854,2,15
355,Q6P2Q9,7.06448598,0.00383901,0.14155312,2,17
356,Q6W2J9,7.37476636,0.0,0.13559752,1,17
357,Q8NAU3,7.24766355,0.00700698,0.1379755,2,17
358,Q92618,7.37476636,0.0,0.13559752,1,17
359,Q93062,7.37476636,0.0,0.13559752,1,17
360,Q9UHF1,6.436448599999999,0.01486876,0.15536518,2,15
361,Q5NF40,7.88598131,0.0,0.1268073,1,16
362,Q96T58,6.88691589,0.00186916,0.14520288,2,15
363,Q5NF50,6.76261682,0.05849567,0.14787175,12,17
364,O15031,7.76168224,0.0,0.12883805,1,18
365,O75503,7.76168224,0.0,0.12883805,1,18
366,P00367,6.93551402,0.01148132,0.14418542,2,16
