,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
608,P37802,6.56317204,0.0,0.15236535,1,11
609,Q8N8S7,6.56317204,0.0,0.15236535,1,11
610,Q93074,6.454749099999999,0.00055928,0.15492469,2,11
611,Q81KY8,6.56630824,0.0,0.15229258,1,11
612,Q81KZ8,1.0,0.0,1.0,1,1
613,O95980,1.0,0.0,1.0,1,1
614,Q81L02,7.02867384,0.0,0.14227435,1,12
615,P30101,6.02912186,0.00207049,0.16586163,3,11
616,Q81L03,6.49103943,0.00019659,0.15405853,2,12
617,Q9ULJ6,5.85080645,0.00491098,0.17091661,5,11
618,Q81L10,4.79390681,0.01354659,0.20859813,10,9
619,P11940,5.19668459,0.00111977,0.19243038,3,10
620,P36956,5.79345878,0.0,0.17260846,1,10
621,P50454,5.79345878,0.0,0.17260846,1,10
622,Q12802,4.97804659,0.01562955,0.20088201,10,10
623,Q4VAK3,5.79345878,0.0,0.17260846,1,10
624,Q9UK58,4.71908602,0.00972426,0.21190544,5,10
625,Q81L13,6.29928315,0.0,0.15874822,1,11
626,Q93008,5.29973118,0.00089606,0.18868882,2,10
627,Q81L14,6.12544803,0.00558778,0.16325336,8,11
628,A4D1N4,5.36783154,0.00255707,0.18629497,2,10
629,P02452,7.125,0.0,0.14035088,1,12
630,Q5VU08,7.125,0.0,0.14035088,1,12
631,Q6UXT9,7.125,0.0,0.14035088,1,12
632,Q9NX63,5.36783154,0.00255707,0.18629497,2,10
633,Q9UEY8,7.125,0.0,0.14035088,1,12
634,Q9Y219,5.92876344,0.00126965,0.16866924,2,11
635,Q81L15,4.92831541,0.0,0.20290909,1,10
636,Q81L21,6.37455197,0.00301495,0.15687377,5,11
637,O00237,7.37410394,0.0,0.13560970000000003,1,12
638,O75807,5.84632616,0.00238367,0.17104759,3,10
639,P04275,5.69041219,0.00895814,0.17573419,6,11
640,P78371,7.37410394,0.0,0.13560970000000003,1,12
641,Q8WTX9,7.37410394,0.0,0.13560970000000003,1,12
642,Q81L30,5.74910394,0.0,0.17394015,1,11
643,Q81L31,7.05734767,0.0,0.14169629,1,12
644,Q8TF65,6.0577957,0.00208546,0.16507655,4,11
645,Q81L32,7.66577061,0.00179171,0.13045003,3,12
646,Q07666,8.66532258,0.0,0.11540251,1,13
647,Q8N3Y3,8.66532258,0.0,0.11540251,1,13
648,Q9UN86,6.66801075,0.00292459,0.14996976,3,11
649,Q81L39,7.16129032,0.00210583,0.13963964,4,12
650,P06681,8.16084229,0.0,0.12253637,1,13
651,P22692,8.16084229,0.0,0.12253637,1,13
652,P30042,6.34811828,0.00232262,0.157527,2,11
653,Q16270,7.06317204,0.00133337,0.14157945,3,12
654,Q81L40,5.36648746,0.00078191,0.18634163,2,10
655,Q81L42,5.97759857,0.0,0.16729126,1,11
656,Q81L45,1.0,0.0,1.0,1,1
657,Q06643,1.0,0.0,1.0,1,1
658,Q81L49,6.17204301,0.00023661,0.16202091,2,11
659,Q81L57,4.92831541,0.0,0.20290909,1,10
660,Q81L62,1.0,1.0,1.0,2,1
661,Q8IXI1,1.5,0.0,0.66666667,1,2
662,Q96AX1,1.5,0.0,0.66666667,1,2
663,Q81L67,5.4453404999999995,0.0,0.18364325,1,11
664,Q81L77,5.95519713,0.00422342,0.16792055,5,11
665,P28799,6.01747312,0.00138709,0.16618271,3,10
666,Q8NF91,6.954749099999999,0.0,0.14378664,1,12
667,Q8TCZ2,6.954749099999999,0.0,0.14378664,1,12
668,Q9UNZ5,6.90456989,0.00125361,0.14483161,2,12
669,Q9Y6K1,5.05062724,0.01098689,0.19799521,8,10
670,Q81L81,1.0,0.0,1.0,1,1
671,Q8NEY4,1.0,0.0,1.0,1,1
672,Q81L89,1.0,0.0,1.0,1,1
673,Q9NR56,1.0,0.0,1.0,1,1
674,Q81L97,6.04928315,0.00089606,0.16530884,2,11
675,Q05209,7.04883513,0.0,0.14186741,1,12
676,Q81L99,5.17383513,0.00443304,0.19328022,5,9
677,O14773,5.34453405,0.00396039,0.18710705,5,10
678,Q6PJI9,6.17249104,0.00089606,0.16200915,2,10
679,Q8ND90,6.1733871,0.0,0.16198563,1,10
680,Q81LA5,6.140681,0.00026041,0.16284839,2,11
681,Q14232,5.30689964,0.00718394,0.18843394,8,10
682,Q9H2F9,5.91890681,0.00033363,0.16895012,2,11
683,Q81LA6,5.05107527,0.00569048,0.19797765,8,9
684,P41212,6.05062724,0.0,0.16527212,1,10
685,Q12796,6.05062724,0.0,0.16527212,1,10
686,Q13023,6.05062724,0.0,0.16527212,1,10
687,Q16822,5.80421147,0.00036508,0.17228869,2,10
688,Q2NL98,4.74417563,0.00544429,0.21078478,5,10
689,Q5HYI8,6.05062724,0.0,0.16527212,1,10
