protein_b	int_type
Q5NIF9	Q01459
Q5NH70	Q9C005
Q5NF74	O43143
Q5NFY5	P08174
Q5NID2	O00299
Q5NEB2	Q9NUV9
Q5NFR9	Q9UJY5
Q5NGE6	Q15643
Q5NI66	P57764
Q5NGV7	Q9NPC6
Q5NF37	P61968
Q5NF16	O75970
Q5NID2	P31153
Q5NID2	O94874
Q5NI85	P14618
Q5NH70	Q96PQ7
Q5NGW4	Q8IVT5
Q5NEC0	P05155
Q5NEB6	Q9NZM3
Q5NFU8	Q9NV31
Q5NHI7	O75143
Q5NHI6	O43464
Q5NGC9	P35680
Q5NEY7	Q9H0U3
Q5NI24	P29992
Q5NIP6	Q16534
Q5NE83	P02462
Q5NF74	Q495Z4
Q5NIB1	O15516
Q5NE82	Q66GS9
Q5NID2	Q8IYH5
Q5NGZ2	P51815
Q5NIJ2	Q8N1G0
Q5NID2	P17028
Q5NF50	Q6IQ21
Q5NEC0	Q9NXT0
Q5NF29	Q8N3J9
Q5NG68	Q9H582
Q5NF67	Q8N3J9
Q5NGR3	Q86WZ6
Q5NG37	Q96SE7
Q5NH32	Q9NRM2
Q5NF37	Q92618
Q5NET2	Q5VZL5
Q5NHX9	Q15326
Q5NEU6	Q2M3W8
Q5NF36	Q9UKY1
Q5NFN4	O43264
Q5NII1	Q15942
Q5NH85	Q09666
Q5NI40	P61769
Q5NHQ1	Q99828
Q5NGW2	P48960
Q5NFK7	Q8TCP9
Q5NHM0	Q8TAB5
Q5NHS4	Q96ST8
Q5NE79	Q96ST8
Q5NEY1	Q68CZ6
Q5NEM9	Q9BX70
Q5NG53	Q86TG1
Q5NHX0	Q76L83
Q5NII1	P61769
Q5NF60	Q7Z591
Q5NFN3	Q06481
Q5NGG6	P20073
Q5NGC3	O00182
Q5NEC0	Q9Y4W6
Q5NGQ8	Q96Q89
Q5NGW2	P01871
Q5NEE1	Q4LDE5
Q5NHN4	Q9GZR1
Q5NHP5	O00560
Q5NFK7	Q15019
Q5NFD5	P31949
Q5NIE9	O75298
Q5NIG6	Q9NQQ7
Q5NI24	Q9H871
Q5NEX3	Q96T23
Q5NGW2	Q9H871
Q5NEM8	P52435
Q5NE83	Q14498
Q5NH38	Q14699
Q5NHS1	Q8IUH3
Q5NIP6	Q9P007
Q5NEY7	O95715
Q5NEC0	Q2TAL8
Q5NHZ4	Q8TEG0
Q5NGY2	O00560
Q5NET6	Q9Y512
Q5NGX6	O15304
Q5NHL7	P56962
Q5NIL8	Q10587
Q5NI85	Q9NQB0
Q5NES5	Q9P2M4
Q5NFC4	Q9NQB0
Q5NFP9	O75528
Q5NET8	O75157
Q5NHZ0	P49589
Q5NIP5	P42226
Q5NES6	O75995
Q5NE96	Q9UNE7
Q5NG37	Q9NY15
Q5NGB9	Q9UNE7
Q5NFK7	Q9UQE7
Q5NHX9	Q9NY15
Q5NGB9	Q9NRA0
Q5NGW2	O75533
Q5NGD0	Q8N1N5
Q5NI40	Q8N1N5
Q5NIG6	P19878
Q5NE79	Q6ZV49
Q5NIG6	P49354
Q5NHK6	Q14554
Q5NI56	P50542
Q5NID2	P27986
Q5NGQ8	Q13438
Q5NHX9	P11940
Q5NI40	Q5VV17
Q5NGF1	Q13287
Q5NHP0	Q96KG9
Q5NFA1	Q8IVI9
Q5NI40	Q9ULJ1
Q5NEH1	Q13469
Q5NGF9	P19838
Q5NFB8	P19838
Q5NIQ1	P19838
Q5NEC0	Q9Y303
Q5NHF1	Q9Y2A7
Q5NFX6	Q5T2W1
Q5NHZ0	Q8WXW3
Q5NEB6	Q86SQ0
Q5NGW2	P41222
Q5NHL7	Q70EL1
Q5NEH1	P51148
Q5NFC7	Q6IPW8
Q5NEG0	P61006
Q5NHL8	Q59EC8
