"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"19239","6.7245509","0.00228744","0.14870882","0.0","4","14","false","Q7CJ25","3.5","4","0","0","0.68196939","false","0","Q7CJ25","196016","0.25"
"13583","7.72419866","0.0","0.12946327","0.0","1","15","false","Q5U651","4.0","1","0","0","0.62643341","false","0","Q5U651","0","0.0"
"19244","6.45544206","0.0","0.15490806","0.0","1","12","false","Q7CJ27","11.0","1","0","0","0.69691989","false","0","Q7CJ27","0","0.0"
"19246","7.01549841","7.0447E-4","0.14254155","0.0","2","12","false","Q7CJ39","5.5","2","0","0","0.66580564","false","0","Q7CJ39","44962","0.5"
"19247","8.01514618","0.0","0.12476379","0.0","1","13","false","P28066","2.0","1","0","0","0.61026966","false","0","P28066","0","0.0"
"19250","6.02078197","0.0","0.16609138","0.0","1","14","false","Q7CJ40","18.0","1","0","0","0.72106767","false","0","Q7CJ40","0","0.0"
"19252","1.0","1.0","1.0","0.0","2","1","false","Q7CJ43","1.0","2","0","0","1.0","false","0","Q7CJ43","2","0.0"
"19253","1.5","0.0","0.66666667","0.0","1","2","false","Q14108","2.0","1","0","0","0.75","false","0","Q14108","0","0.0"
"4741","1.5","0.0","0.66666667","0.0","1","2","false","Q99832","2.0","1","0","0","0.75","false","0","Q99832","0","0.0"
"19256","4.72384642","0.01612521","0.21169189","0.0","7","12","false","Q7CJ44","13.42857143","7","0","0","0.79311964","false","0","Q7CJ44","1432274","0.14974182"
"242","5.72349419","0.0","0.17471844","0.0","1","13","false","O00232","7.0","1","0","0","0.73758366","false","0","O00232","0","0.0"
"2190","5.39591405","2.4675E-4","0.18532541","0.0","2","13","false","O43670","5.5","2","0","0","0.75578255","false","0","O43670","29412","0.5"
"19264","6.62592462","0.0","0.15092233","0.0","1","14","false","Q7CJ45","6.0","1","0","0","0.68744863","false","0","Q7CJ45","0","0.0"
"19266","7.14934836","0.00276125","0.13987289","0.0","5","14","false","Q7CJ53","1.4","5","0","0","0.65836954","false","0","Q7CJ53","143628","0.2"
"19268","8.14899613","0.0","0.1227145","0.0","1","15","false","Q06787","5.0","1","0","0","0.60283355","false","0","Q06787","0","0.0"
"19270","8.14899613","0.0","0.1227145","0.0","1","15","false","Q13591","5.0","1","0","0","0.60283355","false","0","Q13591","0","0.0"
"19272","8.14899613","0.0","0.1227145","0.0","1","15","false","Q99614","5.0","1","0","0","0.60283355","false","0","Q99614","0","0.0"
"19274","7.90102149","2.7218E-4","0.12656591","0.0","2","15","false","Q9BXP5","5.0","2","0","0","0.61660992","false","0","Q9BXP5","15194","0.5"
"19276","6.73441353","0.0","0.14849103","0.0","1","14","false","Q7CJ58","2.0","1","0","0","0.68142147","false","0","Q7CJ58","0","0.0"
"19278","6.52095808","0.0","0.1533517","0.0","1","14","false","Q7CJ60","7.0","1","0","0","0.69328011","false","0","Q7CJ60","0","0.0"
"19280","5.82212046","0.0","0.17175873","0.0","1","14","false","Q7CJ67","4.0","1","0","0","0.73210442","false","0","Q7CJ67","0","0.0"
"19282","5.05494893","0.00380265","0.19782594","0.0","3","12","false","Q7CJ72","21.33333333","3","0","0","0.77472506","false","0","Q7CJ72","394830","0.33888889"
"19286","5.00774921","0.0","0.19969051","0.0","1","12","false","Q7CJ74","104.0","1","0","0","0.77734727","false","0","Q7CJ74","0","0.0"
"19288","6.55688623","0.0","0.15251142","0.0","1","14","false","Q7CJ76","5.0","1","0","0","0.6912841","false","0","Q7CJ76","0","0.0"
"19290","6.63226488","0.0","0.15077806","0.0","1","12","false","Q7CJ81","6.0","1","0","0","0.6870964","false","0","Q7CJ81","0","0.0"
"381","5.63261712","0.00453092","0.17753736","0.0","6","11","false","O43491","4.0","6","0","0","0.74263238","false","0","O43491","325628","0.16666667"
"19292","7.90806622","0.0","0.12645316","0.0","1","14","false","Q7CJ95","3.0","1","0","0","0.61621854","false","0","Q7CJ95","0","0.0"
"19294","9.20218387","7.0447E-4","0.10866986","0.0","2","16","false","Q7CJ96","1.5","2","0","0","0.54432312","false","0","Q7CJ96","49042","0.5"
"19295","8.20324058","0.00140845","0.12190304","0.0","2","15","false","Q8NEZ2","2.0","2","0","0","0.59981997","false","0","Q8NEZ2","98080","0.5"
"19297","10.20183163","0.0","0.09802161","0.0","1","17","false","Q9Y6M1","2.0","1","0","0","0.48878713","false","0","Q9Y6M1","0","0.0"
"19299","5.72278971","0.00277559","0.17473995","0.0","5","14","false","Q7CJ97","5.4","5","0","0","0.73762279","false","0","Q7CJ97","184492","0.2"
"19300","6.72243748","0.0","0.14875557","0.0","1","15","false","O14786","5.0","1","0","0","0.68208681","false","0","O14786","0","0.0"
"1707","5.92567806","6.9056E-4","0.16875706","0.0","2","13","false","Q8WVT3","7.5","2","0","0","0.72635122","false","0","Q8WVT3","45032","0.5"
"19306","1.0","1.0","1.0","0.0","2","1","false","Q7CJ99","1.0","2","0","0","1.0","false","0","Q7CJ99","2","0.0"
"5033","1.5","0.0","0.66666667","0.0","1","2","false","Q02763","2.0","1","0","0","0.75","false","0","Q02763","0","0.0"
"19308","1.5","0.0","0.66666667","0.0","1","2","false","Q09328","2.0","1","0","0","0.75","false","0","Q09328","0","0.0"
"19310","5.77139838","0.00182428","0.17326823","0.0","3","14","false","Q7CJA6","2.66666667","3","0","0","0.73492231","false","0","Q7CJA6","120508","0.33333333"
"2676","6.73652695","6.2201E-4","0.14844444","0.0","2","15","false","O15111","4.5","2","0","0","0.68130406","false","0","O15111","47482","0.5"
"2639","6.41951391","3.0632E-4","0.15577503","0.0","2","13","false","Q9UK61","6.5","2","0","0","0.69891589","false","0","Q9UK61","22644","0.5"
"19314","6.33920395","0.0028164","0.15774851","0.0","5","14","false","Q7CJB1","2.6","5","0","0","0.70337756","false","0","Q7CJB1","212484","0.2"
"12211","7.33885171","0.0","0.1362611","0.0","1","15","false","Q6W2J9","5.0","1","0","0","0.64784157","false","0","Q6W2J9","0","0.0"
"19317","7.33885171","0.0","0.1362611","0.0","1","15","false","Q86V81","5.0","1","0","0","0.64784157","false","0","Q86V81","0","0.0"
"19319","7.33885171","0.0","0.1362611","0.0","1","15","false","Q9H7D0","5.0","1","0","0","0.64784157","false","0","Q9H7D0","0","0.0"
"19321","7.33885171","0.0","0.1362611","0.0","1","15","false","Q9Y3Y2","5.0","1","0","0","0.64784157","false","0","Q9Y3Y2","0","0.0"
"19323","5.8608665","0.0","0.17062323","0.0","1","14","false","Q7CJB2","4.0","1","0","0","0.72995186","false","0","Q7CJB2","0","0.0"
"19325","7.41493484","0.0","0.13486295","0.0","1","14","false","Q7CJC6","4.0","1","0","0","0.64361473","false","0","Q7CJC6","0","0.0"
"19327","7.40225431","0.0","0.13509398","0.0","1","16","false","Q7CJC9","2.0","1","0","0","0.6443192","false","0","Q7CJC9","0","0.0"
"4143","6.40260655","7.0447E-4","0.15618639","0.0","2","15","false","Q14494","4.5","2","0","0","0.69985519","false","0","Q14494","50254","0.5"
"19329","1.0","1.0","1.0","0.0","2","1","false","Q7CJD2","1.0","2","0","0","1.0","false","0","Q7CJD2","2","0.0"
"19330","1.5","0.0","0.66666667","0.0","1","2","false","P55822","2.0","1","0","0","0.75","false","0","P55822","0","0.0"
"19332","1.5","0.0","0.66666667","0.0","1","2","false","P58658","2.0","1","0","0","0.75","false","0","P58658","0","0.0"
"19334","1.0","1.0","1.0","0.0","2","1","false","Q7CJD3","1.0","2","0","0","1.0","false","0","Q7CJD3","2","0.0"
"19335","1.5","0.0","0.66666667","0.0","1","2","false","Q15050","2.0","1","0","0","0.75","false","0","Q15050","0","0.0"
"19337","1.5","0.0","0.66666667","0.0","1","2","false","Q5T4T6","2.0","1","0","0","0.75","false","0","Q5T4T6","0","0.0"
"19339","1.5","0.0","0.66666667","0.0","1","2","false","Q7CJE3","2.0","1","0","0","0.75","false","0","Q7CJE3","0","0.0"
"1629","1.0","1.0","1.0","0.0","2","1","false","Q9BWH2","1.0","2","0","0","1.0","false","0","Q9BWH2","2","0.0"
"19341","5.88411412","0.00375999","0.16994912","0.0","7","12","false","Q7CJE4","2.85714286","7","0","0","0.72866033","false","0","Q7CJE4","272706","0.14285714"
"19343","6.88376189","0.0","0.14526941","0.0","1","13","false","P27694","7.0","1","0","0","0.67312434","false","0","P27694","0","0.0"
"19346","6.88376189","0.0","0.14526941","0.0","1","13","false","Q2KHT3","7.0","1","0","0","0.67312434","false","0","Q2KHT3","0","0.0"
"815","6.88376189","0.0","0.14526941","0.0","1","13","false","Q3KNW1","7.0","1","0","0","0.67312434","false","0","Q3KNW1","0","0.0"
"19349","6.88376189","0.0","0.14526941","0.0","1","13","false","Q6ZUM4","7.0","1","0","0","0.67312434","false","0","Q6ZUM4","0","0.0"
"19352","4.63015146","0.03515379","0.21597566","0.0","10","12","false","Q7CJE7","13.3","10","0","0","0.79832492","false","0","Q7CJE7","3321570","0.10603448"
"19357","5.62979923","0.0","0.17762623","0.0","1","13","false","P14780","10.0","1","0","0","0.74278893","false","0","P14780","0","0.0"
"11884","5.62064107","0.00492494","0.17791565","0.0","2","13","false","Q99814","10.5","2","0","0","0.74329772","false","0","Q99814","432412","0.5"
"343","5.46706587","0.0076354","0.18291347","0.0","7","13","false","Q9NQB0","4.28571429","7","0","0","0.75182967","false","0","Q9NQB0","554692","0.14285714"
"19364","1.0","0.0","1.0","0.0","1","1","false","Q7CJE8","1.0","1","0","0","1.0","false","0","Q7CJE8","0","0.0"
"19365","1.0","0.0","1.0","0.0","1","1","false","Q92942","1.0","1","0","0","1.0","false","0","Q92942","0","0.0"
"19367","8.70200775","0.0","0.11491601","0.0","1","14","false","Q7CJE9","2.0","1","0","0","0.57211068","false","0","Q7CJE9","0","0.0"
"3756","7.70235999","7.0447E-4","0.12983034","0.0","2","13","false","P30519","2.5","2","0","0","0.62764667","false","0","P30519","40296","0.5"
"19369","6.42444523","0.00223418","0.15565546","0.0","5","14","false","Q7CJF3","2.2","5","0","0","0.69864193","false","0","Q7CJF3","158554","0.2"
"3944","7.42409299","0.0","0.13469659","0.0","1","15","false","P00352","5.0","1","0","0","0.64310594","false","0","P00352","0","0.0"
"4298","7.42409299","0.0","0.13469659","0.0","1","15","false","Q14142","5.0","1","0","0","0.64310594","false","0","Q14142","0","0.0"
"19372","7.42409299","0.0","0.13469659","0.0","1","15","false","Q8IYL3","5.0","1","0","0","0.64310594","false","0","Q8IYL3","0","0.0"
"19376","5.79394153","0.00351849","0.17259408","0.0","7","14","false","Q7CJF5","3.0","7","0","0","0.73366992","false","0","Q7CJF5","219538","0.14285714"
"13278","6.20676294","3.7946E-4","0.16111458","0.0","2","13","false","O43390","7.5","2","0","0","0.71073539","false","0","O43390","25550","0.5"
"5244","6.79358929","0.0","0.14719759","0.0","1","15","false","P55265","7.0","1","0","0","0.67813393","false","0","P55265","0","0.0"
"19381","6.79358929","0.0","0.14719759","0.0","1","15","false","Q9H9V4","7.0","1","0","0","0.67813393","false","0","Q9H9V4","0","0.0"
"3152","6.41317365","2.7216E-4","0.15592904","0.0","2","13","false","Q9P1Z2","6.0","2","0","0","0.69926813","false","0","Q9P1Z2","16862","0.5"
"5226","6.79358929","0.0","0.14719759","0.0","1","15","false","Q9P260","7.0","1","0","0","0.67813393","false","0","Q9P260","0","0.0"
"19385","5.5403311","0.0","0.18049463","0.0","1","14","false","Q7CJF6","22.0","1","0","0","0.74775938","false","0","Q7CJF6","0","0.0"
